"Permit.Number","Orig","Dest"
"99066K",18,18
"99067C",18,18
"99068U",18,18
"99069M",2,18
"99070E",18,18
"99071V",18,18
"99072N",18,18
"99073G",18,18
"99074X",18,18
"99075P",18,18
"99076I",18,18
"99077A",18,18
"99078R",18,18
"99079K",18,18
"99080B",18,18
"99081S",18,18
"99082L",18,18
"99083E",18,18
"99084V",8,18
"99086G",18,18
"99088P",18,18
"99089I",18,18
"99090Z",18,18
"99091Q",18,18
"99092J",1,18
"99093B",18,18
"99094S",18,18
"99095L",18,18
"99096E",2,18
"99097V",18,18
"99098N",18,18
"99099G",2,18
"99100C",18,18
"99101U",18,18
"99102M",1,18
"99103F",18,18
"99104W",18,18
"99105O",18,18
"99106H",18,18
"99108Q",18,18
"99109J",18,18
"99110A",3,18
"99111R",18,18
"99112K",18,18
"99113C",18,18
"99114U",18,18
"99115M",18,18
"99118O",18,18
"99119H",1,18
"99120X",18,18
"99121P",18,18
"99122I",18,18
"99124R",18,18
"99125K",18,18
"99127U",18,18
"99128M",18,18
"99129F",18,18
"99130V",18,18
"99131N",18,18
"99132G",18,18
"99133X",18,18
"99138K",18,18
"99140S",18,18
"99141L",18,18
"99142E",18,18
"99143V",18,18
"99144N",18,18
"99145G",18,18
"99146X",18,18
"99147P",18,18
"99148I",18,18
"99149A",18,18
"99150Q",18,18
"99151J",18,18
"99152B",18,18
"99153S",18,18
"99154L",1,18
"99158G",18,18
"99160O",18,18
"99162Z",18,18
"99163Q",18,18
"99164J",18,18
"99165B",18,18
"99166S",18,18
"99167L",18,18
"99168E",1,18
"99169V",18,18
"99170M",18,18
"99171F",18,18
"99172W",18,18
"99173O",18,18
"99174H",18,18
"99175Z",1,18
"99176Q",18,18
"99178B",1,18
"99179S",18,18
"99181C",18,18
"99183M",18,18
"99184F",18,18
"99185W",18,18
"99186O",18,18
"99188Z",18,18
"99189Q",18,18
"99190I",18,18
"99191A",18,18
"99192R",18,18
"99194C",18,18
"99195U",18,18
"99196M",8,18
"99197F",18,18
"99198W",18,18
"99199O",18,18
"99200L",18,18
"99201E",18,18
"99202V",18,18
"99203N",18,18
"99204G",18,18
"99205X",18,18
"99206P",18,18
"99207I",18,18
"99208A",18,18
"99209R",18,18
"99210J",18,18
"99211B",18,18
"99212S",1,18
"99214E",18,18
"99215V",14,18
"99217G",18,18
"99218X",18,18
"99219P",18,18
"99220H",18,18
"99221Z",18,18
"99222Q",18,18
"99223J",18,18
"99224B",18,18
"99225S",2,18
"99227E",18,18
"99228V",18,18
"99229N",18,18
"99230F",18,18
"99231W",18,18
"99232O",18,18
"99236J",18,18
"99237B",18,18
"99238S",18,18
"99240C",1,18
"99241U",2,18
"99244W",18,18
"99245O",18,18
"99246H",18,18
"99247Z",18,18
"99248Q",2,18
"99249J",18,18
"99250A",18,18
"99252K",18,18
"99253C",18,18
"99254U",18,18
"99255M",18,18
"99256F",18,18
"99257W",18,18
"99258O",18,18
"99259H",18,18
"99260X",18,18
"99262I",18,18
"99264R",18,18
"99265K",18,18
"99266C",18,18
"99268M",6,18
"99269F",18,18
"99270V",18,18
"99271N",18,18
"99272G",18,18
"99273X",18,18
"99275I",18,18
"99276A",18,18
"99277R",18,18
"99278K",18,18
"99280S",18,18
"99281L",18,1
"99282E",1,18
"99283V",18,18
"99284N",18,18
"99285G",18,18
"99286X",1,18
"99287P",18,18
"99289A",18,18
"99290Q",18,18
"99291J",18,18
"99292B",18,18
"99293S",18,18
"99294L",1,18
"99295E",18,18
"99296V",18,18
"99298G",18,18
"99299X",18,18
"99301M",18,18
"99302F",18,18
"99303W",1,18
"99304O",18,18
"99306Z",1,18
"99308J",18,18
"99310R",18,18
"99311K",18,18
"99312C",8,18
"99313U",18,18
"99314M",2,18
"99316W",18,18
"99317O",18,18
"99318H",1,18
"99321I",18,18
"99322A",18,18
"99323R",18,18
"99324K",18,18
"99325C",18,18
"99326U",18,18
"99328F",18,18
"99329W",18,18
"99330N",18,18
"99332X",18,18
"99333P",1,18
"99334I",1,18
"99336R",18,18
"99337K",18,18
"99338C",1,18
"99339U",18,18
"99340L",18,18
"99342V",18,18
"99343N",18,18
"99345X",18,18
"99346P",18,18
"99347I",18,18
"99348A",18,18
"99349R",18,18
"99350J",18,18
"99352S",18,18
"99353L",18,18
"99354E",18,18
"99355V",18,1
"99358X",1,18
"99359P",18,18
"99360H",18,18
"99362Q",18,18
"99363J",18,18
"99364B",18,18
"99365S",18,2
"99366L",18,18
"99367E",18,18
"99368V",18,18
"99370F",18,18
"99372O",18,18
"99373H",18,18
"99374Z",18,18
"99376J",1,18
"99377B",18,18
"99378S",18,18
"99379L",18,18
"99380C",18,18
"99381U",18,18
"99382M",18,18
"99383F",18,18
"99384W",18,18
"99385O",18,18
"99386H",18,18
"99387Z",18,18
"99388Q",18,18
"99389J",18,18
"99390A",18,18
"99391R",18,18
"99392K",18,18
"99393C",18,18
"99394U",18,18
"99395M",18,18
"99396F",18,18
